user,text
slmick16,@Mike_Pence How after all you and @realDonaldTrump have done to make America’s democracy a joke would you ever want… https://t.co/TiPpqE0n33
AHappyMargarita,@Mike_Pence Spewing nothing but caca. Pence be like... https://t.co/mk4z1tZNi1
Christi62803008,@Mike_Pence @realDonaldTrump @Perduesenate @KLoeffler Our future rely on God. The Lord of Lords and King of Kings..… https://t.co/uG3HtRtxSy
sydinchicago,@Mike_Pence You still believe your own BS?
OudMaar,"@Mike_Pence Well, it inwas a miracle, why is Trump trying to get the credit for it? If You think that is okay, then… https://t.co/hQaD8spOpI"
InactionNever,@Mike_Pence @Perduesenate @KLoeffler https://t.co/xhYO07GnC5
morgandevine11,"RT @Trump20Never68: @Mike_Pence We voted, you lost. Go take your Anti-Americanism to parler."
InactionNever,@Mike_Pence @VP @henrymcmaster https://t.co/xhYO07GnC5
holyholy_God,@Mike_Pence @mschlapp @Perduesenate @KLoeffler There is nothing that goes for nothing; every sin has consequences.… https://t.co/MYOMmFohfW
heidilovingnj,"@Mike_Pence 40.more days Mikey... You and Donnie are Out!  No evidence, No proof, No more Lies."
DAPIBrentwood,"@Mike_Pence My God, stop being his lap dog and for the last 40 days stand up to him.  You are to nice of a person to defend such a clown."
Danfkaz,@Mike_Pence Straight from 2021's Mr. Irrelevant.
USAFGrannyVet,@Mike_Pence I'm curious. Did you practice the prance clapping or is that just your natural rhythm?  https://t.co/EKL71i3Gbi
TessaHousel,@Mike_Pence Nice news!
StylistLindseyB,@Mike_Pence @VP @UofSCSOMG While 90 Americans die every hour because of your and Con Don lack of actual leadership.… https://t.co/Nj77tmUW5r
MikoHeart,@Mike_Pence Exactly! GA #VoteBlue for yourselves and the country! #Warnock4Senate #Ossoff4Senate Stop @gop obstruction now!
HopefulCathy,@Mike_Pence Just need to see the evidence is all....🤷‍♀️
petesrod,RT @Rosemarie4311: @Mike_Pence https://t.co/eeuuy8MJKw
